id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
284,Ecobici,N/A,Miércoles,2020-12-09,,,"11,020"
285,Ecobici,N/A,Jueves,2020-12-10,,,"11,156"
286,Ecobici,N/A,Viernes,2020-12-11,,,"10,596"
287,Ecobici,N/A,Sábado,2020-12-12,,,"8,244"
288,Ecobici,N/A,Domingo,2020-12-13,,,"6,466"
289,Ecobici,N/A,Lunes,2020-12-14,,,"10,244"
290,Ecobici,N/A,Martes,2020-12-15,,,"10,846"
291,Ecobici,N/A,Miércoles,2020-12-16,,,"10,979"
292,Ecobici,N/A,Jueves,2020-12-17,,,"10,471"
293,Ecobici,N/A,Viernes,2020-12-18,,,"10,929"
294,Ecobici,N/A,Sábado,2020-12-19,,,"6,229"
295,Ecobici,N/A,Domingo,2020-12-20,,,"4,780"
296,Ecobici,N/A,Lunes,2020-12-21,,,"7,526"
297,Ecobici,N/A,Martes,2020-12-22,,,"8,043"
298,Ecobici,N/A,Miércoles,2020-12-23,,,"8,047"
299,Ecobici,N/A,Jueves,2020-12-24,,,"5,333"
300,Ecobici,N/A,Viernes,2020-12-25,,,"2,519"
301,Ecobici,N/A,Sábado,2020-12-26,,,"4,377"
302,Ecobici,N/A,Domingo,2020-12-27,,,"4,038"
303,Ecobici,N/A,Lunes,2020-12-28,,,"6,470"
304,Ecobici,N/A,Martes,2020-12-29,,,"6,555"
305,Ecobici,N/A,Miércoles,2020-12-30,,,"6,826"
306,Ecobici,N/A,Jueves,2020-12-31,,,"5,133"
307,Ecobici,N/A,Viernes,2021-01-01,,,"2,755"
308,Ecobici,N/A,Sábado,2021-01-02,,,"4,607"
309,Ecobici,N/A,Domingo,2021-01-03,,,"4,492"
310,Ecobici,N/A,Lunes,2021-01-04,,,"7,269"
311,Ecobici,N/A,Martes,2021-01-05,,,"7,959"
312,Ecobici,N/A,Miércoles,2021-01-06,,,"7,401"
313,Ecobici,N/A,Jueves,2021-01-07,,,"7,722"
314,Ecobici,N/A,Viernes,2021-01-08,,,"7,976"
315,Ecobici,N/A,Sábado,2021-01-09,,,"6,369"
316,Ecobici,N/A,Domingo,2021-01-10,,,"5,347"
317,Ecobici,N/A,Lunes,2021-01-11,,,"8,190"
318,Ecobici,N/A,Martes,2021-01-12,,,"8,805"
319,Ecobici,N/A,Miércoles,2021-01-13,,,"8,898"
320,Ecobici,N/A,Jueves,2021-01-14,,,"9,171"
321,Ecobici,N/A,Viernes,2021-01-15,,,"9,582"
322,Ecobici,N/A,Sábado,2021-01-16,,,"6,692"
323,Ecobici,N/A,Domingo,2021-01-17,,,"5,209"
324,Ecobici,N/A,Lunes,2021-01-18,,,"9,889"
325,Ecobici,N/A,Martes,2021-01-19,,,"10,079"
326,Ecobici,N/A,Miércoles,2021-01-20,,,"10,209"
327,Ecobici,N/A,Jueves,2021-01-21,,,"10,398"
328,Ecobici,N/A,Viernes,2021-01-22,,,"10,723"
329,Ecobici,N/A,Sábado,2021-01-23,,,"8,376"
330,Ecobici,N/A,Domingo,2021-01-24,,,"6,844"
331,Ecobici,N/A,Lunes,2021-01-25,,,"10,267"
332,Ecobici,N/A,Martes,2021-01-26,,,"11,042"
333,Ecobici,N/A,Miércoles,2021-01-27,,,"10,893"
334,Ecobici,N/A,Jueves,2021-01-28,,,"10,961"
335,Ecobici,N/A,Viernes,2021-01-29,,,"11,581"
336,Ecobici,N/A,Sábado,2021-01-30,,,"8,948"
337,Ecobici,N/A,Domingo,2021-01-31,,,"7,151"
338,Ecobici,N/A,Lunes,2021-02-01,,,"7,519"
339,Ecobici,N/A,Martes,2021-02-02,,,"10,884"
340,Ecobici,N/A,Miércoles,2021-02-03,,,"11,331"
341,Ecobici,N/A,Jueves,2021-02-04,,,"11,184"
342,Ecobici,N/A,Viernes,2021-02-05,,,"11,682"
343,Ecobici,N/A,Sábado,2021-02-06,,,"9,123"
344,Ecobici,N/A,Domingo,2021-02-07,,,"7,180"
345,Ecobici,N/A,Lunes,2021-02-08,,,"10,535"
346,Ecobici,N/A,Martes,2021-02-09,,,"11,418"
